Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
1	-44.264734375	37.188647461288504	70.84462	-196.0555	37.15630126953125	73.70624973501229	336.3388	-63.120983	2000.0	1992.34	500000	4385.951645851135
2	-14.12700390625	44.73662789035401	258.6292	-157.43102	57.9404150390625	70.43630988346848	361.37894	-63.719215	1993.116	1991.56	1000000	8663.538776636124
3	9.835373046875	45.34167784720808	169.95547	-92.547676	80.808671875	82.87441553338401	359.03284	-53.386185	2000.0	1964.15	1500000	12945.192137002945
4	26.78586328125	62.68113751360931	305.90863	-141.9029	105.093203125	101.82031047389317	361.12814	-141.69244	2000.0	1952.29	2000000	17146.522004127502
5	50.31248832793825	77.27003859544676	354.54636	-122.03891	139.3592578125	124.14660688073597	368.313	-126.40842	1993.0557768924302	1898.65	2500000	21293.5799138546
6	58.51413708784449	96.92921965046064	357.86728	-119.94974	101.12666015625	120.53811119309943	354.7917	-65.00696	1967.1181102362204	1899.06	3000000	25439.177940130234
7	30.344888679594863	86.4626595819044	356.73233	-220.49432	155.8605078125	132.46805747047097	368.38245	-45.825195	1983.3359683794467	1785.66	3500000	29714.606629133224
8	38.17099493577075	99.01577408568072	362.42505	-142.5247	168.9473828125	133.2028105934706	367.83344	-72.06745	1968.7233201581028	1762.62	4000000	33926.38183712959
9	56.70588057170543	107.61726973021591	361.3635	-142.38438	158.756708984375	129.27931969189814	363.90808	-43.582428	1938.9418604651162	1776.56	4500000	38043.025062561035
10	63.18613205252918	106.74959335254562	361.01794	-126.55941	201.191796875	144.02068427833552	366.6598	-62.102776	1949.9143968871595	1629.29	5000000	42130.73486495018
11	106.90259246254682	130.75778849053822	359.18466	-112.94209	231.88759765625	138.61486211802833	364.82483	-86.69772	1872.434456928839	1524.69	5500000	46233.53823637962
12	125.60432884786476	150.58827703873453	361.87967	-151.32341	190.37267578125	143.36352395222434	353.48288	-79.092545	1780.2704626334519	1647.82	6000000	50395.300975084305
13	112.11647088579137	151.01257749323756	359.9327	-137.74745	222.43546875	145.68568907068394	361.23166	-65.73592	1799.5143884892086	1585.93	6500000	54561.53059196472
14	95.1960332103321	144.9348116602644	360.20743	-142.54791	161.932451171875	126.19097630179427	362.22537	-61.128822	1840.660516605166	1803.51	7000000	58771.07087135315
15	72.49634153451493	134.94424636443628	358.55496	-188.2294	189.6288671875	145.2946919195605	362.22446	-75.62676	1870.2350746268658	1633.59	7500000	62869.2894411087
16	68.64929152804183	135.19392493157022	358.38464	-170.1812	178.783359375	153.46068714820743	362.32062	-78.56115	1897.2889733840304	1642.97	8000000	66976.2858850956
17	85.88961551966293	135.22377070912498	358.79813	-137.20464	219.08591796875	145.39970770259478	362.54398	-45.62247	1873.0936329588014	1519.78	8500000	71070.91526222229
18	129.35310553825622	144.9531093650314	359.05505	-104.34454	213.14052734375	147.4807953599383	360.6189	-132.36844	1781.2064056939503	1555.0	9000000	75143.21164345741
19	111.33791934742646	140.96707740378497	358.59708	-152.53183	206.3408203125	143.22405960591956	360.823	-67.33408	1836.9632352941176	1590.99	9500000	79184.1094391346
20	138.40558978873239	146.28269467221125	357.90308	-136.75494	250.7703125	132.44780103874885	362.8282	-25.987661	1758.1514084507041	1406.96	10000000	83227.06787109375
